"page","diagram_number","players","year","solution_move","solution_move_with_notation","solution_full_move","solution_full_text","solution_turn","fen","api_turn","image_path","image_page","header_page","solution_page"
"30","1","Steinitz - Robey","1862","f5","f5!","10. f5! Increasing the scope of the f1-rook, e3-bishop and e2-knight; and after the next move, also the","10.f5! Increasing the scope of the f1-rook, e3-bishop and e2-knight; and after the next move, also the remaining pieces on d3, c3 and a1. It can hardly be better! If White does not push immediately, Black can play 10...d5 and it will be too late. 10...exf5 Otherwise Black would get a weak e-pawn after fxe6. 11.exf5+/- White continues with Bg5 or Bh6, playing on the kingside.","white","","","data_output/extracted_images/diagram_001_page_31.png","31","30","31"
"30","2","Steinitz - Blackburne","1862","f5","f5!","10. f5! Increasing the scope of the f1-rook, e3-bishop and e2-knight; and after the next move, also the","10.f5! Increasing the scope of the f1-rook, e3-bishop and e2-knight; and after the next move, also the remaining pieces on d3, c3 and a1. It can hardly be better! If White does not push immediately, Black can play 10...d5 and it will be too late. 10...exf5 Otherwise Black would get a weak e-pawn after fxe6. 11.exf5+/- White continues with Bg5 or Bh6, playing on the kingside.","white","","","data_output/extracted_images/diagram_002_page_31.png","31","30","31"
"32","4","Steinitz - Sellman","1885","cxd3","cxd3!","12. cxd3! This improves White’s structure since:","12.cxd3! This improves White’s structure since: a) It controls the c4- and e4-squares (the main point) b) White can use the open c-file c) Black can’t use his queenside pawns to open files (not relevant in this game) d) The pawn can advance to d4 e) It closes the a6-f1-diagonal. “It may seem strange to attach an exclamation mark to a move which today would be automatically made by any candidate master,” wrote Kasparov in the book series on his predecessors. “But then, in 1885, the consequences of the pawn capture were by no means obvious, and the majority of players were simply unable to think long-term.” According to Kasparov, Black had to play 12...b4 followed by ...a6-a5 and ...Ba6. 12...a5 has the same idea. 12...d4 opens the long diagonal for the light-squared bishop, but also gives up the e4-square. 13.Nf2²","white","","","data_output/extracted_images/diagram_003_page_32.png","32","32","32"
"32","5","Zukertort - Steinitz","1886","d5","d5!","17. d5! A standard isolated queen’s pawn position. Pushing and exchanging the pawn is usually","17.d5! A standard isolated queen’s pawn position. Pushing and exchanging the pawn is usually favourable, as White’s pieces are more actively placed. Zukertort missed this opportunity by playing 17.Red1?, which takes us to the next exercise. 17...exd5 18.Nxd5 Nxd5 19.Bxd5 Bf6 20.Rad1 Rf8 21.Be4 All White’s pieces are on excellent squares and Black has no good defence. For instance, 21...Rad8 22.Qc2 with a double threat - or triple if you count Rd6.","white","","","data_output/extracted_images/diagram_004_page_33.png","33","32","33"
"33","6","Zukertort - Steinitz","1886","a5","Na5!","17... Na5! Chasing back the bishop to increase Black’s control over the important d5-square. 17...b4","17...Na5! Chasing back the bishop to increase Black’s control over the important d5-square. 17...b4 is met by 18.Ne4= and if ...Nd5, White can trade on d5. 18.Bc2 b4 19.Ne4 Nd5µ The isolated pawn is blocked for the foreseeable future.","black","","","data_output/extracted_images/diagram_005_page_33.png","33","33","34"
"34","7","Lasker - Bauer","1889","h5","Nh5!","14. Nh5! Exchanging the key defender. 14.f5 g6!² defends quite well. 14...Nxh5 14...Ne8 15.Bxg7!","14.Nh5! Exchanging the key defender. 14.f5 g6!² defends quite well. 14...Nxh5 14...Ne8 15.Bxg7! Nxg7 16.Qg4 wins. 14...Rfc8! was the best defensive try, when White can win the h7-pawn but the black king escapes to the centre and the game continues. 15.Bxh7+! 15.Qxh5 f5= 15...Kxh7 16.Qxh5+ Kg8 17.Bxg7!! Kxg7 18.Qg4+ Kh7 19.Rf3 Black has to give up too much material to avoid mate. 19...e5 20.Rh3+ Qh6 21.Rxh6+ Kxh6 22.Qd7! White could have won more slowly, but the double threat ends the game in short order. Why are we seeing a tactical combination in a book of positional exercises? Because classic combinations such as this one should be part of one’s foundational knowledge, which can guide us towards correct positional decisions - in this case, exchanging the defensive knight.","white","","","data_output/extracted_images/diagram_006_page_34.png","34","34","34"
"34","8","Lasker - Steinitz","1895","f4","f4!","21... f4! Closing the centre and gaining space. Black prepares to push the g-pawn and launch an","21...f4! Closing the centre and gaining space. Black prepares to push the g-pawn and launch an attack, using as many pieces as possible on the kingside. After the game continuation 21...fxe4? White gets a nice square on e4. 21...Nf6 22.exf5 gxf5 opens things up for White’s pieces. There is even 23.Nxe5!? dxe5 24.Rxe5 with compensation, as Black is cramped. 22.Nf1 b6 23.N1d2 After 23.b4 a5 24.a3 g5 25.c5 h5µ White’s pieces are not well placed to attack on the queenside. 23...g5 24.Kf1!÷ White should run from the kill zone.","black","","","data_output/extracted_images/diagram_007_page_35.png","35","34","35"
"35","9","Steinitz - Lasker","1895","d4","d4","10... d4 Following the school book by exchanging the isolated pawn to release the active pieces","10...d4 Following the school book by exchanging the isolated pawn to release the active pieces behind it. 11.exd4 Re8+!³ An irritating intermediate move, forcing White to retreat. There is no need to calculate further. Lasker played 11...Nxd4 with a balanced position","black","","","data_output/extracted_images/diagram_008_page_35.png","35","35","36"
"36","11","Lasker - Maroczy","1899","e5","Ne5!","18... Ne5! Opening the diagonal for the bishop on b7, and also in some way preparing ...Be5 which","18...Ne5! Opening the diagonal for the bishop on b7, and also in some way preparing ...Be5 which neutralizes White’s bishop on b2. In many similar positions with the c- and d-pawns exchanged, both players try to be first with ...Ne5 or Ne4, to exploit their respective diagonals. 19.Nxe5 Instead Lasker accepted doubled pawns on f3, a long-term concession. 19...Bxe5 20.Qc2 Black has slightly more active pieces, but it’s not enough to claim a real advantage.","black","","","data_output/extracted_images/diagram_009_page_37.png","37","36","37"
"37","12","Blackburne - Lasker","1899","b5","b5³","18... b5³ A standard minority attack, to eventually create a weak white pawn on the queenside - and","18...b5³ A standard minority attack, to eventually create a weak white pawn on the queenside - and in the meantime, solidifying the c4-outpost for a knight. 18...f5 is also a good move, gaining space and controlling the light squares. The game continuation is more straightforward though.","black","","","data_output/extracted_images/diagram_010_page_37.png","37","37","38"
