"page","diagram_number","players","year","solution_move","solution_move_with_notation","solution_full_move","solution_full_text","solution_turn","fen","api_turn","image_path","image_page","header_page","solution_page"
"30","1","Steinitz - Robey","1862","f5","f5!","10. f5!","10.f5! Increasing the scope of the f1-rook, e3-bishop and e2-knight; and after the next move, also the remaining pieces on d3, c3 and a1. It can hardly be better! If White does not push immediately, Black can play 10...d5 and it will be too late. 10...exf5 Otherwise Black would get a weak e-pawn after fxe6. 11.exf5+/- White continues with Bg5 or Bh6, playing on the kingside.","white","","","data_output/extracted_images/diagram_001_page_31.png","31","30","31"
"30","2","Steinitz - Blackburne","1862","f5","f5!","10. f5!","10.f5! Increasing the scope of the f1-rook, e3-bishop and e2-knight; and after the next move, also the remaining pieces on d3, c3 and a1. It can hardly be better! If White does not push immediately, Black can play 10...d5 and it will be too late. 10...exf5 Otherwise Black would get a weak e-pawn after fxe6. 11.exf5+/- White continues with Bg5 or Bh6, playing on the kingside.","white","","","data_output/extracted_images/diagram_002_page_31.png","31","30","31"
"32","4","Steinitz - Sellman","1885","cxd3","cxd3!","12. cxd3!","12.cxd3! This improves White’s structure since: a) It controls the c4- and e4-squares (the main point) b) White can use the open c-file c) Black can’t use his queenside pawns to open files (not relevant in this game) d) The pawn can advance to d4 e) It closes the a6-f1-diagonal. “It may seem strange to attach an exclamation mark to a move which today would be automatically made by any candidate master,” wrote Kasparov in the book series on his predecessors. “But then, in 1885, the consequences of the pawn capture were by no means obvious, and the majority of players were simply unable to think long-term.” According to Kasparov, Black had to play 12...b4 followed by ...a6-a5 and ...Ba6. 12...a5 has the same idea. 12...d4 opens the long diagonal for the light-squared bishop, but also gives up the e4-square. 13.Nf2²","white","","","data_output/extracted_images/diagram_003_page_32.png","32","32","32"
"32","5","Zukertort - Steinitz","1886","d5","d5!","17. d5!","17.d5! A standard isolated queen’s pawn position. Pushing and exchanging the pawn is usually favourable, as White’s pieces are more actively placed. Zukertort missed this opportunity by playing 17.Red1?, which takes us to the next exercise. 17...exd5 18.Nxd5 Nxd5 19.Bxd5 Bf6 20.Rad1 Rf8 21.Be4 All White’s pieces are on excellent squares and Black has no good defence. For instance, 21...Rad8 22.Qc2 with a double threat - or triple if you count Rd6.","white","","","data_output/extracted_images/diagram_004_page_33.png","33","32","33"
"33","6","Zukertort - Steinitz","1886","Na5","Na5!","17... Na5!","17...Na5! Chasing back the bishop to increase Black’s control over the important d5-square. 17...b4 is met by 18.Ne4= and if ...Nd5, White can trade on d5. 18.Bc2 b4 19.Ne4 Nd5µ The isolated pawn is blocked for the foreseeable future.","black","","","data_output/extracted_images/diagram_005_page_33.png","33","33","34"
"34","7","Lasker - Bauer","1889","Nh5","Nh5!","14. Nh5!","14.Nh5! Exchanging the key defender. 14.f5 g6!² defends quite well. 14...Nxh5 14...Ne8 15.Bxg7! Nxg7 16.Qg4 wins. 14...Rfc8! was the best defensive try, when White can win the h7-pawn but the black king escapes to the centre and the game continues. 15.Bxh7+! 15.Qxh5 f5= 15...Kxh7 16.Qxh5+ Kg8 17.Bxg7!! Kxg7 18.Qg4+ Kh7 19.Rf3 Black has to give up too much material to avoid mate. 19...e5 20.Rh3+ Qh6 21.Rxh6+ Kxh6 22.Qd7! White could have won more slowly, but the double threat ends the game in short order. Why are we seeing a tactical combination in a book of positional exercises? Because classic combinations such as this one should be part of one’s foundational knowledge, which can guide us towards correct positional decisions - in this case, exchanging the defensive knight.","white","","","data_output/extracted_images/diagram_006_page_34.png","34","34","34"
"34","8","Lasker - Steinitz","1895","f4","f4!","21... f4!","21...f4! Closing the centre and gaining space. Black prepares to push the g-pawn and launch an attack, using as many pieces as possible on the kingside. After the game continuation 21...fxe4? White gets a nice square on e4. 21...Nf6 22.exf5 gxf5 opens things up for White’s pieces. There is even 23.Nxe5!? dxe5 24.Rxe5 with compensation, as Black is cramped. 22.Nf1 b6 23.N1d2 After 23.b4 a5 24.a3 g5 25.c5 h5µ White’s pieces are not well placed to attack on the queenside. 23...g5 24.Kf1!÷ White should run from the kill zone.","black","","","data_output/extracted_images/diagram_007_page_35.png","35","34","35"
"35","9","Steinitz - Lasker","1895","d4","d4","10... d4","10...d4 Following the school book by exchanging the isolated pawn to release the active pieces behind it. 11.exd4 Re8+!³ An irritating intermediate move, forcing White to retreat. There is no need to calculate further. Lasker played 11...Nxd4 with a balanced position","black","","","data_output/extracted_images/diagram_008_page_35.png","35","35","36"
"36","10","Steinitz - Lasker","1896","Ne5","Ne5!","18... Ne5!","18...Ne5! Opening the diagonal for the bishop on b7, and also in some way preparing ...Be5 which neutralizes White’s bishop on b2. In many similar positions with the c- and d-pawns exchanged, both players try to be first with ...Ne5 or Ne4, to exploit their respective diagonals. 19.Nxe5 Instead Lasker accepted doubled pawns on f3, a long-term concession. 19...Bxe5 20.Qc2 Black has slightly more active pieces, but it’s not enough to claim a real advantage.","black","","","data_output/extracted_images/diagram_009_page_37.png","37","36","37"
"36","11","Lasker - Maroczy","1899","Ne5","Ne5!","18... Ne5!","18...Ne5! Opening the diagonal for the bishop on b7, and also in some way preparing ...Be5 which neutralizes White’s bishop on b2. In many similar positions with the c- and d-pawns exchanged, both players try to be first with ...Ne5 or Ne4, to exploit their respective diagonals. 19.Nxe5 Instead Lasker accepted doubled pawns on f3, a long-term concession. 19...Bxe5 20.Qc2 Black has slightly more active pieces, but it’s not enough to claim a real advantage.","black","","","data_output/extracted_images/diagram_010_page_37.png","37","36","37"
"37","12","Blackburne - Lasker","1899","b5","b5³","18... b5³","18...b5³ A standard minority attack, to eventually create a weak white pawn on the queenside - and in the meantime, solidifying the c4-outpost for a knight. 18...f5 is also a good move, gaining space and controlling the light squares. The game continuation is more straightforward though.","black","","","data_output/extracted_images/diagram_011_page_37.png","37","37","38"
"38","13","Lasker - Mackay","1908","Rxc3","Rxc3!","13... Rxc3!","13...Rxc3! For the exchange, Black destroys White’s structure and picks up a valuable central pawn. 14.bxc3 14.gxf6 Rxe3 15.fxg7 Kxg7-+ 14...Nxe4-+ Lasker went on to lose this simul game.","black","","","data_output/extracted_images/diagram_012_page_38.png","38","38","38"
"38","14","Lasker - Cohn","1909","Na4","Na4!","20. Na4!","14. Emanuel Lasker - Erich Cohn, St. Petersburg 1909 20.Na4!+- Taking control over the dark squares, where Black is helpless due to the immobile doubled c-pawns. Other moves are also good (winning), but that’s no reason not to choose the most logical and convincing path.","white","","","data_output/extracted_images/diagram_013_page_38.png","38","38","39"
"39","14","Emanuel Lasker - Erich Cohn","1909","g4","g4!","12. g4!","12.g4! With a closed centre, White can afford to advance on the wing. 12...Bg6 13.h4 f6 13...h5 14.Ng5! hxg4 15.h5 Bh7 16.h6 g6 and it’s temping to use another diagram to embarrass the bishop on h7. 14.h5 Bf7 White failed to find the best continuation: 15.g5! Before Black has a chance to stop it with ...h7-h6. The attack is winning.","white","","","data_output/extracted_images/diagram_014_page_40.png","40","39","40"
"39","15","Alekhine - Cohn","1911","g4","g4!","12. g4!","12.g4! With a closed centre, White can afford to advance on the wing. 12...Bg6 13.h4 f6 13...h5 14.Ng5! hxg4 15.h5 Bh7 16.h6 g6 and it’s temping to use another diagram to embarrass the bishop on h7. 14.h5 Bf7 White failed to find the best continuation: 15.g5! Before Black has a chance to stop it with ...h7-h6. The attack is winning.","white","","","data_output/extracted_images/diagram_015_page_40.png","40","39","40"
"41","18","Mieses - Alekhine","1914","Na5","Na5!","6... Na5!","6...Na5! Picking up the bishop - the most ambitious and best move. Note that 7.b4? Bxd5! wins a pawn or destroys White’s structure.","black","","","data_output/extracted_images/diagram_016_page_41.png","41","41","41"
"41","19","Alekhine - Teichmann","1921","Na4","Na4!","7. Na4!","7.Na4!² Hunting down the bishop and thus preparing to castle.","white","","","data_output/extracted_images/diagram_017_page_41.png","41","41","41"
"42","20","Alekhine - Rubinstein","1921","h4","h4!","9. h4!","9.h4! A standard move against the knight on g6. 9...Bd6 After 9...h5 White clearly has more use for the g5-square than Black has for the g4-square. 9...h6 is the best defence. 10.h5 Nge7 11.h6 g6 12.Bg5 0-0 13.Bf6 Black was not mated on g7, but surviving on the dark squares meant giving up an exchange and eventually losing the game.","white","","","data_output/extracted_images/diagram_018_page_42.png","42","42","42"
"42","21","Alekhine - Tarrasch","1922","c5","c5","13... c5","13...c5 First things first: Black gets rid of the backward pawn and opens the diagonal for the b7- bishop. 13...Re8 was played in the game. 14.dxc5 14.d5 exd5 15.exd5 Nb6-+ picks up the loose pawn. (The pin along the d-file yields nothing for White.) 14...Qc7µ The knight is misplaced on a2, and the e4-pawn is vulnerable.","black","","","data_output/extracted_images/diagram_019_page_42.png","42","42","43"
"43","22","Bogoljubow - Capablanca","1924","f5","f5!","14. f5!","14.f5!+/- White gets the e4-square and an initiative on the kingside. 14.Bxd5?! was played. After 14...Qxd5 15.Nc3 Black can go for 15...exf4!? 16.Bxf4 Qd7 17.Bxc7 f5© with decent play for the pawn. 14...Nf6 15.Nc3 Kh8 16.Bg5 White is close to winning.","white","","","data_output/extracted_images/diagram_020_page_44.png","44","43","44"
"43","23","Alekhine - Dusek","1925","f5","f5!","14. f5!","14.f5!+/- White gets the e4-square and an initiative on the kingside. 14.Bxd5?! was played. After 14...Qxd5 15.Nc3 Black can go for 15...exf4!? 16.Bxf4 Qd7 17.Bxc7 f5© with decent play for the pawn. 14...Nf6 15.Nc3 Kh8 16.Bg5 White is close to winning.","white","","","data_output/extracted_images/diagram_021_page_44.png","44","43","44"
"44","24","Spielmann - Euwe","1925","f4","f4!","14... f4!","14...f4!³ Turning the e2-knight and c1-bishop into bad pieces is much more important than giving away the e4-square. Black will later get coordinated with ...c6-c5 and ...Nc6. 14...0-0? allowed:","black","","","data_output/extracted_images/diagram_022_page_44.png","44","44","44"
"45","26","Kmoch - Alekhine","1926","c4","c4!","13... c4!","13...c4!= Black gains space and will follow up by pushing the a- and b-pawns. This method of releasing the tension normally comes with the drawback of giving White a free hand to play in the centre with e3-e4, but that is not on the agenda here.","black","","","data_output/extracted_images/diagram_023_page_46.png","46","45","46"
"46","27","Alekhine - Nimzowitsch","1927","f3","f3!","8. f3!","8.f3! A nice set-up against the bishops on b7 and b4, both of which fight for the e4-square. 8.e4?! is risky when White is less than fully developed. Black obtains good counterplay with: 8...c5! 9.d5 exd5","white","","","data_output/extracted_images/diagram_024_page_46.png","46","46","46"
"47","28","Kmoch - Alekhine","1927","b5","b5!","22... b5!","22...b5! Winning the d5-square for a heavy piece before White has time to interfere with a2-a4. 23.c5 Opening the c-file only helps Black, as the white rooks are busy defending the d-pawn. Kmoch tried 23.Qf3-+ but he lost a pawn and eventually the game. 23...g5µ Having obtained a dominant position, Black can set about creating a second weakness.","black","","","data_output/extracted_images/diagram_025_page_47.png","47","47","47"
"47","29","Bogoljubow - Alekhine","1929","h5","h5!","14... h5!","14...h5! Challenging the knight with extra force, as the e4-pawn is loose. There is no point in starting with 14...c4; it’s better to retain the option of ...cxd4. 15.Qe2 15.e5 gives Black the d5-square, but there is also 15...h4!?, leading to a line which is not especially relevant, but which may still be of interest to those who are curious: 16.exf6 hxg3 17.fxe7 Rxh2 18.Rf3! Kxe7 19.Rxg3 Qxf4 20.Qg4 (20.Kxh2? Rh8+-+) 20...Rxg2+ 21.Rxg2 Qe3+ 22.Kf1 Qxd3+³ The position is close to equal, but I slightly prefer Black’s chances with three pawns versus a piece. 15...h4 16.Nh1³ The knight can’t easily return to the game, as White needs to defend the f-pawn.","black","","","data_output/extracted_images/diagram_026_page_48.png","48","47","48"
"48","30","Yates - Alekhine","1930","f4","f4µ","16... f4µ","16...f4µ Black gains space and avoids giving White a chance for exf5. Black will follow up by pushing the g-pawn.","black","","","data_output/extracted_images/diagram_027_page_48.png","48","48","49"
"49","31","Bogoljubow - Alekhine","1934","e5","e5!","13... e5!","13...e5!= The bishop on c8 is no longer a problematic piece, and the potential queen exchange on d2 will suit the player with fewer central pawns. 13...b6 is an attempt to exchange bishops but 14.Qd3!² is a good reply.","black","","","data_output/extracted_images/diagram_028_page_50.png","50","49","50"
"49","32","Alekhine - Nimzowitsch","1934","e5","e5!","13... e5!","13...e5!= The bishop on c8 is no longer a problematic piece, and the potential queen exchange on d2 will suit the player with fewer central pawns. 13...b6 is an attempt to exchange bishops but 14.Qd3!² is a good reply.","black","","","data_output/extracted_images/diagram_029_page_50.png","50","49","50"
"50","33","Alekhine - Johner","1934","Bc2","Bc2!","9. Bc2!","9.Bc2! Avoiding simplifications is best, as Black’s light-squared bishop and queenside knight both belong on d7. Black needs the bishop to support future counterplay with ...f5, so ideas involving","white","","","data_output/extracted_images/diagram_030_page_50.png","50","50","50"
"51","34","Lasker - Capablanca","1935","h4","h4!","18. h4!","18.h4!f Pinpointing the weakened g6-pawn. 18.e4= was played in the game.","white","","","data_output/extracted_images/diagram_031_page_52.png","52","51","52"
"51","35","Lasker - Bogoljubow","1936","h4","h4!","18. h4!","18.h4!f Pinpointing the weakened g6-pawn. 18.e4= was played in the game.","white","","","data_output/extracted_images/diagram_032_page_52.png","52","51","52"
"52","36","Alekhine - Alexander","1936","d5","d5!","13. d5!","13.d5! Undermining the f-pawn. 13...exd5 13...e5 is the move Black would like to play, but 14.Nh4! wins at least a pawn. 14.cxd5 Ndf6 15.Nh4 Qd7 16.Bh3!+- Black is losing, due to the weakness of the f5-pawn along with the additional threat of f2-f3.","white","","","data_output/extracted_images/diagram_033_page_52.png","52","52","52"
"53","37","Lasker - Alexander","1936","b4","b4","10. b4","10.b4 Starting White’s main plan: to soften up the long light-squared diagonal. (Even though the rook would be better on b1 than c1.) 10.Nxd4? exd4 11.Ne4 f5 12.Ng5 h6 13.Nh3 g5³ only helps Black to advance.","white","","","data_output/extracted_images/diagram_034_page_53.png","53","53","53"
"53","38","Euwe - Alekhine","1937","d5","d5!","9. d5!","Nowadays this is known as a common theoretical position which arises with Black to move. 9.d5!","white","","","data_output/extracted_images/diagram_035_page_53.png","53","53","53"
"54","39","Alekhine - Capablanca","1938","Ng5","Ng5!","16. Ng5!","16.Ng5! Black needed the pawn on h6 to ensure the safety of the bishop on e6. 16.Nd5 opens up for the bishop on c2, but also for Black’s rook against White’s queen. 16...Bxd5 17.exd5 e4! 18.Bxe4 Bf8 19.Qc2 Nxe4 20.Rxe4 Qd7= Black wins back the pawn. 16...Bd7 The game move 16...c4 is not challenging; White simply captures the bishop. 16...Bc4?! is unsatisfactory: 17.Qf3 h6 18.b3 hxg5 19.bxc4+/- Black suffers from a weakened kingside. 17.Nd5²","white","","","data_output/extracted_images/diagram_036_page_55.png","55","54","55"
"54","40","Alekhine - Flohr","1938","Ng5","Ng5!","16. Ng5!","16.Ng5! Black needed the pawn on h6 to ensure the safety of the bishop on e6. 16.Nd5 opens up for the bishop on c2, but also for Black’s rook against White’s queen. 16...Bxd5 17.exd5 e4! 18.Bxe4 Bf8 19.Qc2 Nxe4 20.Rxe4 Qd7= Black wins back the pawn. 16...Bd7 The game move 16...c4 is not challenging; White simply captures the bishop. 16...Bc4?! is unsatisfactory: 17.Qf3 h6 18.b3 hxg5 19.bxc4+/- Black suffers from a weakened kingside. 17.Nd5²","white","","","data_output/extracted_images/diagram_037_page_55.png","55","54","55"
"55","41","Georgadse - Petrosian","1945","f4","f4!","12. f4!","12.f4! The way to increase the pressure. Black doesn’t want to capture on either e4 or f4 since it would help White’s knights forward. However, the exf5 and especially fxe5 exchanges tend to be good moves for White. Another important factor is that Black’s knight on a6 is misplaced. In this Czech Benoni set-up, it would have wanted to chase away White’s bishop with ...Nb8-d7-f6-g8. Remember this manoeuvre, as there will be no further reminders in this book. I initially wanted to include an exercise with the knight manoeuvre, but it was eventually discarded since Black’s position was too bad. By the way, White could have made some other move and followed up with f2-f4, but the sooner the better. 12...Nc7 12...Bf6 defends e5, but the bishop will be less effective than a knight on the central square, because it will be vulnerable to knight threats. There are many good continuations, 13.Rae1 Nc7 14.fxe5 Bxe5 15.Nf4 being one example. 13.exf5 13.Rae1 was the game, where Black eventually escaped with a draw. 13...gxf5 13...Bxf5 14.fxe5 gives Black an isolated pawn. White continues with h2-h3 and g3-g4, then puts a knight on e4. 14.g4! This is not forced, but it’s both strong and instructive. 14...fxg4 15.fxe5 dxe5 16.Rxf8+ Bxf8 17.Ng3+- White’s pieces will smoothly join the attack.","white","","","data_output/extracted_images/diagram_038_page_55.png","55","55","56"
"56","42","Smyslov - Lilienthal","1950","Bxc6","Bxc6+!","8. Bxc6+!","8.Bxc6+! bxc6 9.Qa4 Black does not have an effective way to open lines for the bishop pair. Smyslov won convincingly, and exchanging on c6 has since been a standard device in such positions. In the game Black became passive, but strong players nowadays would consider 9...Ne6!?², offering the c6-pawn in the hope of gaining some initiative.","white","","","data_output/extracted_images/diagram_039_page_56.png","56","56","56"
"56","43","Szabo - Petrosian","1952","Rxc3","Rxc3","14... Rxc3","14...Rxc3 15.bxc3 d5 The exchange sacrifice is so standard that you hardly need to consider what to play next, until the opponent has executed the only move. 16.Nb1 dxe4!³ This improves on the game continuation of 16...Nxe4 17.Rxd5!, when Black’s best is to take on b1 and remove the queens, leading to approximate equality. Instead Petrosian took on g5 and stood worse, though he eventually won.","black","","","data_output/extracted_images/diagram_040_page_57.png","57","56","57"
"57","44","Petrosian - Vaitonis","1952","f4","f4!","23. f4!","23.f4! Bolstering the bishop on e5 to keep the e-file closed. 23.Bxf6 Qxf6² 23...Bxe5 24.dxe5!+/- Keeping the f-pawn to threaten Black’s king.","white","","","data_output/extracted_images/diagram_041_page_57.png","57","57","58"
